0.0 0.01 -0.03
60.0 0.02 0.48
120.0 0.01 0.68
180.0 0.01 0.59
240.0 0.02 0.35
300.0 0.01 0.65
360.0 0.01 0.95
420.0 0.01 0.83
480.0 0.01 0.98
540.0 0.01 1.22
600.0 0.01 0.86
660.0 0.02 1.24
720.0 0.02 1.43
780.0 0.01 1.37
840.0 0.01 1.22
900.0 0.01 1.27
960.0 0.01 1.64
1020.0 0.01 1.78
1080.0 0.01 1.58
1140.0 0.01 1.97
1200.0 0.01 1.88
1260.0 0.01 1.91
1320.0 0.01 2.02
1380.0 0.01 2.15
1440.0 0.01 2.46
1500.0 0.02 2.5
1560.0 0.01 2.15
1620.0 0.02 2.47
1680.0 0.01 2.65
1740.0 0.0 2.86
1800.0 0.01 2.86
1860.0 0.01 2.47
1920.0 0.0 3.01
1980.0 0.01 2.79
2040.0 0.0 2.71
2100.0 0.0 2.94
2160.0 0.0 2.89
2220.0 0.0 3.16
2280.0 0.0 3.24
2340.0 0.0 2.98
2400.0 -0.01 3.39
2460.0 0.0 3.33
2520.0 -0.01 3.57
2580.0 -0.02 3.52
2640.0 -0.02 3.57
2700.0 -0.02 3.6
2760.0 -0.02 3.57
2820.0 -0.03 3.72
2880.0 -0.03 3.8
2940.0 -0.03 4.34
3000.0 -0.04 3.95
3060.0 -0.04 3.77
3120.0 -0.04 4.11
3180.0 -0.04 4.14
3240.0 -0.04 4.02
3300.0 -0.04 4.38
3360.0 -0.04 4.22
3420.0 -0.05 4.32
3480.0 -0.05 4.73
3540.0 -0.05 4.62
3600.0 -0.05 4.35
3660.0 -0.06 4.5
3720.0 -0.06 4.77
3780.0 -0.06 4.53
3840.0 -0.07 4.77
3900.0 -0.07 4.43
3960.0 -0.08 4.88
4020.0 -0.08 5.03
4080.0 -0.09 5.24
4140.0 -0.1 5.06
4200.0 -0.1 5.14
4260.0 -0.11 5.41
4320.0 -0.12 5.27
4380.0 -0.13 5.32
4440.0 -0.13 5.35
4500.0 -0.14 5.47
4560.0 -0.16 5.27
4620.0 -0.18 5.66
4680.0 -0.19 5.74
4740.0 -0.2 5.9
4800.0 -0.23 5.95
4860.0 -0.24 5.74
4920.0 -0.26 5.92
4980.0 -0.27 5.95
5040.0 -0.28 6.07
5100.0 -0.3 5.8
5160.0 -0.31 5.96
5220.0 -0.31 6.34
5280.0 -0.32 6.08
5340.0 -0.33 6.37
5400.0 -0.33 6.05
5460.0 -0.33 6.54
5520.0 -0.34 6.43
5580.0 -0.33 6.49
5640.0 -0.33 6.79
5700.0 -0.33 6.37
5760.0 -0.33 6.39
5820.0 -0.33 6.91
5880.0 -0.32 6.69
5940.0 -0.32 6.81
6000.0 -0.32 6.96
6060.0 -0.32 7.06
6120.0 -0.32 7.12
6180.0 -0.31 6.97
6240.0 -0.31 7.12
6300.0 -0.31 7.05
6360.0 -0.31 7.08
6420.0 -0.31 7.34
6480.0 -0.31 7.35
6540.0 -0.32 7.37
6600.0 -0.32 7.41
6660.0 -0.32 7.8
6720.0 -0.33 7.61
6780.0 -0.34 7.46
6840.0 -0.35 7.77
6900.0 -0.36 7.79
6960.0 -0.37 7.24
7020.0 -0.39 7.86
7080.0 -0.4 7.94
7140.0 -0.42 7.97
7200.0 -0.44 8.06
7260.0 -0.46 7.89
7320.0 -0.48 7.98
7380.0 -0.51 7.92
7440.0 -0.54 8.15
7500.0 -0.57 8.1
7560.0 -0.6 8.1
7620.0 -0.64 8.46
7680.0 -0.67 8.48
7740.0 -0.71 8.54
7800.0 -0.75 8.36
7860.0 -0.78 8.9
7920.0 -0.81 8.6
7980.0 -0.84 8.48
8040.0 -0.86 8.36
8100.0 -0.88 8.74
8160.0 -0.9 8.78
8220.0 -0.91 8.77
8280.0 -0.91 8.9
8340.0 -0.92 8.78
8400.0 -0.92 8.75
8460.0 -0.92 8.52
8520.0 -0.92 8.9
8580.0 -0.91 9.05
8640.0 -0.9 8.9
8700.0 -0.89 8.83
8760.0 -0.88 9.37
8820.0 -0.86 9.38
8880.0 -0.85 9.52
8940.0 -0.83 9.22
9000.0 -0.81 9.52
9060.0 -0.79 9.87
9120.0 -0.78 9.52
9180.0 -0.77 9.84
9240.0 -0.75 9.64
9300.0 -0.74 9.34
9360.0 -0.72 9.81
9420.0 -0.71 9.88
9480.0 -0.7 10.02
9540.0 -0.69 9.93
9600.0 -0.69 10.08
9660.0 -0.68 9.53
9720.0 -0.68 9.96
9780.0 -0.68 9.94
9840.0 -0.68 10.14
9900.0 -0.68 9.84
9960.0 -0.69 9.58
10020.0 -0.69 10.18
10080.0 -0.7 10.2
10140.0 -0.71 10.23
10200.0 -0.72 10.23
10260.0 -0.74 10.72
10320.0 -0.76 10.41
10380.0 -0.78 10.44
10440.0 -0.8 10.38
10500.0 -0.83 10.77
10560.0 -0.86 10.32
10620.0 -0.89 10.53
10680.0 -0.92 10.62
10740.0 -0.96 10.74
10800.0 -1.01 10.77
