Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0.0	0.05	0.63
30.0	0.05	0.5
60.0	0.05	0.54
90.0	0.05	0.57
120.0	0.05	0.63
150.0	0.05	0.6
180.0	0.05	0.72
210.0	0.05	0.69
240.0	0.05	0.8
270.0	0.05	0.83
300.0	0.05	0.74
330.0	0.05	0.89
360.0	0.05	0.99
390.0	0.05	0.95
420.0	0.05	0.99
450.0	0.05	0.98
480.0	0.05	1.08
510.0	0.05	1.2
540.0	0.05	1.14
570.0	0.05	1.19
600.0	0.05	1.22
630.0	0.05	1.27
660.0	0.05	1.27
690.0	0.05	1.31
720.0	0.05	1.36
750.0	0.05	1.34
780.0	0.05	1.46
810.0	0.05	1.48
840.0	0.05	1.54
870.0	0.05	1.54
900.0	0.05	1.57
930.0	0.05	1.64
960.0	0.05	1.72
990.0	0.05	1.72
1020.0	0.05	1.66
1050.0	0.05	1.82
1080.0	0.05	1.85
1110.0	0.05	1.88
1140.0	0.05	1.91
1170.0	0.05	1.91
1200.0	0.05	2.06
1230.0	0.05	2.0
1260.0	0.05	2.0
1290.0	0.05	2.09
1320.0	0.05	2.11
1350.0	0.06	2.09
1380.0	0.05	2.18
1410.0	0.05	2.17
1440.0	0.05	2.23
1470.0	0.05	2.26
1500.0	0.05	2.23
1530.0	0.04	2.33
1560.0	0.05	2.44
1590.0	0.04	2.38
1620.0	0.05	2.44
1650.0	0.05	2.42
1680.0	0.04	2.53
1710.0	0.04	2.56
1740.0	0.04	2.61
1770.0	0.04	2.61
1800.0	0.04	2.77
1830.0	0.04	2.68
1860.0	0.04	2.71
1890.0	0.04	2.76
1920.0	0.03	2.79
1950.0	0.03	2.79
1980.0	0.04	2.88
2010.0	0.03	2.94
2040.0	0.03	2.95
2070.0	0.03	2.97
2100.0	0.03	3.03
2130.0	0.02	3.04
2160.0	0.03	3.12
2190.0	0.02	3.09
2220.0	0.02	3.1
2250.0	0.02	3.18
2280.0	0.02	3.22
2310.0	0.02	3.28
2340.0	0.02	3.27
2370.0	0.01	3.3
2400.0	0.01	3.33
2430.0	0.01	3.39
2460.0	0.0	3.42
2490.0	0.01	3.51
2520.0	0.0	3.46
2550.0	0.0	3.49
2580.0	0.0	3.55
2610.0	0.0	3.61
2640.0	-0.01	3.66
2670.0	-0.01	3.64
2700.0	-0.01	3.58
