Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0.0	0.07	0.5
30.0	0.07	0.41
60.0	0.07	0.5
90.0	0.07	0.5
120.0	0.06	0.47
150.0	0.07	0.53
180.0	0.07	0.62
210.0	0.06	0.71
240.0	0.07	0.68
270.0	0.07	0.78
300.0	0.07	0.71
330.0	0.06	0.83
360.0	0.06	0.84
390.0	0.07	0.92
420.0	0.07	0.95
450.0	0.07	0.92
480.0	0.07	0.99
510.0	0.07	1.01
540.0	0.07	1.08
570.0	0.07	1.14
600.0	0.06	1.04
630.0	0.07	1.16
660.0	0.06	1.19
690.0	0.07	1.25
720.0	0.07	1.36
750.0	0.07	1.37
780.0	0.07	1.34
810.0	0.07	1.48
840.0	0.07	1.43
870.0	0.06	1.43
900.0	0.07	1.58
930.0	0.07	1.55
960.0	0.07	1.61
990.0	0.07	1.64
1020.0	0.06	1.64
1050.0	0.06	1.64
1080.0	0.06	1.72
1110.0	0.07	1.76
1140.0	0.07	1.81
1170.0	0.07	1.85
1200.0	0.07	1.87
1230.0	0.06	1.87
1260.0	0.07	1.91
1290.0	0.06	1.97
1320.0	0.07	2.03
1350.0	0.06	2.11
1380.0	0.07	2.06
1410.0	0.07	2.12
1440.0	0.07	2.15
1470.0	0.06	2.15
1500.0	0.06	2.11
1530.0	0.06	2.23
1560.0	0.06	2.21
1590.0	0.06	2.32
1620.0	0.06	2.36
1650.0	0.06	2.52
1680.0	0.06	2.44
1710.0	0.07	2.41
1740.0	0.06	2.5
1770.0	0.07	2.53
1800.0	0.06	2.49
1830.0	0.06	2.59
1860.0	0.06	2.67
1890.0	0.06	2.67
1920.0	0.06	2.74
1950.0	0.06	2.71
1980.0	0.06	2.77
2010.0	0.06	2.83
2040.0	0.06	2.83
2070.0	0.06	2.91
2100.0	0.06	2.94
2130.0	0.05	2.94
2160.0	0.06	2.98
2190.0	0.06	3.01
2220.0	0.06	3.04
2250.0	0.05	3.09
2280.0	0.05	3.06
2310.0	0.05	3.12
2340.0	0.05	3.18
2370.0	0.05	3.19
2400.0	0.04	3.15
2430.0	0.04	3.28
2460.0	0.04	3.31
2490.0	0.05	3.31
2520.0	0.04	3.37
2550.0	0.04	3.34
2580.0	0.04	3.46
2610.0	0.04	3.43
2640.0	0.03	3.46
2670.0	0.04	3.57
2700.0	0.03	3.68
