Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0,0	0,07	0,32
30,0	0,07	0,41
60,0	0,07	0,42
90,0	0,07	0,48
120,0	0,07	0,47
150,0	0,07	0,48
180,0	0,07	0,56
210,0	0,07	0,66
240,0	0,07	0,66
270,0	0,06	0,69
300,0	0,07	0,63
330,0	0,07	0,78
360,0	0,07	0,84
390,0	0,07	0,84
420,0	0,07	0,87
450,0	0,07	0,93
480,0	0,07	0,93
510,0	0,07	0,93
540,0	0,07	1,02
570,0	0,07	1,07
600,0	0,07	1,07
630,0	0,07	1,17
660,0	0,07	1,28
690,0	0,07	1,22
720,0	0,07	1,27
750,0	0,07	1,25
780,0	0,07	1,3
810,0	0,07	1,42
840,0	0,07	1,37
870,0	0,07	1,43
900,0	0,07	1,45
930,0	0,07	1,52
960,0	0,07	1,57
990,0	0,07	1,57
1020,0	0,07	1,64
1050,0	0,07	1,69
1080,0	0,07	1,7
1110,0	0,07	1,61
1140,0	0,07	1,78
1170,0	0,07	1,73
1200,0	0,07	1,82
1230,0	0,07	1,88
1260,0	0,07	1,96
1290,0	0,07	1,96
1320,0	0,07	1,99
1350,0	0,07	1,93
1380,0	0,07	2,03
1410,0	0,07	2,11
1440,0	0,07	2,11
1470,0	0,07	2,17
1500,0	0,07	2,18
1530,0	0,07	2,21
1560,0	0,07	2,26
1590,0	0,07	2,32
1620,0	0,06	2,32
1650,0	0,07	2,42
1680,0	0,07	2,36
1710,0	0,07	2,39
1740,0	0,06	2,44
1770,0	0,07	2,5
1800,0	0,07	2,59
1830,0	0,06	2,55
1860,0	0,06	2,59
1890,0	0,06	2,68
1920,0	0,06	2,65
1950,0	0,06	2,52
1980,0	0,06	2,73
2010,0	0,06	2,88
2040,0	0,06	2,79
2070,0	0,06	2,85
2100,0	0,06	2,85
2130,0	0,05	2,86
2160,0	0,06	2,94
2190,0	0,05	2,95
2220,0	0,05	3,01
2250,0	0,05	3,07
2280,0	0,05	3,12
2310,0	0,05	3,07
2340,0	0,05	3,16
2370,0	0,05	3,1
2400,0	0,05	3,18
2430,0	0,04	3,27
2460,0	0,04	3,27
2490,0	0,04	3,34
2520,0	0,04	3,37
2550,0	0,04	3,42
2580,0	0,04	3,4
2610,0	0,03	3,45
2640,0	0,04	3,46
2670,0	0,04	3,49
2700,0	0,04	3,57
