Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0.0	0.07	0.38
30.0	0.07	0.53
60.0	0.07	0.47
90.0	0.07	0.54
120.0	0.07	0.56
150.0	0.07	0.59
180.0	0.07	0.63
210.0	0.07	0.69
240.0	0.07	0.68
270.0	0.07	0.72
300.0	0.07	0.77
330.0	0.07	0.84
360.0	0.07	0.74
390.0	0.07	0.87
420.0	0.07	0.95
450.0	0.07	0.95
480.0	0.06	0.99
510.0	0.07	0.96
540.0	0.07	1.08
570.0	0.07	1.1
600.0	0.07	1.14
630.0	0.07	1.19
660.0	0.07	1.19
690.0	0.07	1.24
720.0	0.07	1.31
750.0	0.07	1.33
780.0	0.07	1.36
810.0	0.07	1.36
840.0	0.06	1.4
870.0	0.07	1.43
900.0	0.07	1.51
930.0	0.07	1.55
960.0	0.07	1.64
990.0	0.07	1.66
1020.0	0.07	1.7
1050.0	0.06	1.69
1080.0	0.07	1.75
1110.0	0.07	1.75
1140.0	0.07	1.84
1170.0	0.07	1.88
1200.0	0.07	1.82
1230.0	0.07	1.96
1260.0	0.07	1.9
1290.0	0.07	1.96
1320.0	0.06	2.03
1350.0	0.07	2.12
1380.0	0.06	2.08
1410.0	0.07	2.17
1440.0	0.07	2.12
1470.0	0.07	2.21
1500.0	0.06	2.18
1530.0	0.07	2.27
1560.0	0.07	2.3
1590.0	0.07	2.32
1620.0	0.06	2.38
1650.0	0.07	2.39
1680.0	0.06	2.42
1710.0	0.06	2.5
1740.0	0.06	2.52
1770.0	0.06	2.55
1800.0	0.06	2.61
1830.0	0.06	2.58
1860.0	0.06	2.64
1890.0	0.06	2.67
1920.0	0.06	2.71
1950.0	0.06	2.79
1980.0	0.06	2.82
2010.0	0.06	2.88
2040.0	0.06	2.86
2070.0	0.05	2.8
2100.0	0.06	2.89
2130.0	0.05	2.94
2160.0	0.05	3.04
2190.0	0.05	3.01
2220.0	0.05	3.06
2250.0	0.05	3.09
2280.0	0.05	3.15
2310.0	0.05	3.15
2340.0	0.04	3.18
2370.0	0.04	3.21
2400.0	0.04	3.28
2430.0	0.04	3.27
2460.0	0.04	3.43
2490.0	0.03	3.34
2520.0	0.03	3.36
2550.0	0.03	3.4
2580.0	0.03	3.43
2610.0	0.03	3.52
2640.0	0.02	3.54
2670.0	0.03	3.61
2700.0	0.02	3.61
